Triclopyr,Rep,"Treatment, % herbicide",Percent necrosis,,Glyphosate,Rep,"Treatment, % herbicide",Percent necrosis
Wild type,1,0%,0.00%,,Wild type,1,0.00%,
Wild type,2,0%,0.00%,,Wild type,2,0.00%,0.00%
Wild type,3,0%,0.00%,,Wild type,3,0.00%,0.00%
Wild type,4,0%,0.04%,,Wild type,4,0.04%,0.00%
Wild type,1,100%,100.00%,,Wild type,1,100%,0.00%
Wild type,2,100%,69.00%,,Wild type,2,100%,1.10%
Wild type,3,100%,100.00%,,Wild type,3,100%,0.00%
Wild type,4,100%,26.90%,,Wild type,4,100%,0.20%
Wild type,1,43%,11.10%,,Wild type,1,33%,0.00%
Wild type,2,43%,81.60%,,Wild type,2,33%,0.10%
Wild type,3,43%,73.30%,,Wild type,3,33%,0.00%
Wild type,4,43%,15.90%,,Wild type,4,33%,0.00%
Wild type,1,33%,1.20%,,Wild type,1,1%,0.00%
Wild type,2,33%,0.80%,,Wild type,2,1%,0.00%
Wild type,3,33%,0.70%,,Wild type,3,1%,100.00%
Wild type,4,33%,16.00%,,Wild type,4,1%,0.00%
VD3,1,,,,VD3,1,0%,
VD3,2,0%,0%,,VD3,2,0%,0
VD3,3,0%,0%,,VD3,3,0%,0
VD3,4,0%,0%,,VD3,4,0%,0
VD3,1,100%,100.00%,,VD3,1,100%,23.00%
VD3,2,100%,73.30%,,VD3,2,100%,0.60%
VD3,3,100%,100.00%,,VD3,3,100%,30.00%
VD3,4,100%,100.00%,,VD3,4,100%,3.70%
VD3,1,43%,100.00%,,VD3,1,33%,
VD3,2,43%,100.00%,,VD3,2,33%,20.40%
VD3,3,43%,86.30%,,VD3,3,33%,19.60%
VD3,4,43%,17.50%,,VD3,4,33%,0.00%
VD3,1,33%,87.40%,,VD3,1,1%,0.10%
VD3,2,33%,8.20%,,VD3,2,1%,0.00%
VD3,3,33%,56.30%,,VD3,3,1%,0.00%
VD3,4,33%,22.10%,,VD3,4,1%,0.00%
